ID,title,description,isActive
ea610039-0f6c-4306-aaab-43089f06d1d6,Cowboy Carter,"The eighth studio album by American singer and songwriter Beyoncé, released on March 29, 2024, via Parkwood Entertainment and Columbia Records.",true
ad37408c-69e6-45f1-82b5-727dea1e6daa,"Bright Future","Bright Future is the sixth solo studio album by Adrianne Lenker. It was released on March 22, 2024, through 4AD. The album was nominated for Best Folk Album at the 67th Annual Grammy Awards",false
cae42ffe-61a3-4472-8009-7e69b52811aa,Deeper Well,"The sixth studio album by American singer and songwriter Kacey Musgraves, released on March 15, 2024, by MCA Nashville and Interscope Records",true
110e7ccd-e332-40cf-8c79-42c0bfa0b58a,Eternal Sunshine,"Eternal Sunshine is the seventh studio album by American singer Ariana Grande. It was released on March 8, 2024, by Republic Records. Her first new album in nearly four years, following the release of Positions",true
5ca005b6-8c87-4b9e-9f48-c52703365193,"We Don't Trust You","We Don't Trust You is the first collaborative studio album by American rapper Future and American record producer Metro Boomin, released on March 22, 2024, by Freebandz, Epic Records, Boominati Worldwide, and Republic",true
